"WarName","year","total_deaths","total_belligerent_pop","deaths_by_poptotal"
"Franco-Spanish War",1823,1000,42612000,2.3467567821271e-05
"First Russo-Turkish",1828,130000,83737000,0.00155247978790738
"Mexican-American",1846,19283,28197000,0.000683867078057949
"Austro-Sardinian",1848,7527,43373000,0.000173541143107463
"First Schleswig-Holstein",1848,6000,18461000,0.00032500947944315
"Roman Republic",1849,2600,83766000,3.10388463099587e-05
"La Plata",1851,1300,8310000,0.000156438026474128
"Crimean",1853,145000,107033000,0.00135472237534218
"Crimean",1854,117000,63888000,0.0018313298271976
"Crimean",1855,2200,5003000,0.000439736158305017
"Anglo-Persian",1856,2000,34311000,5.82903442044825e-05
"First Spanish-Moroccan",1859,10000,17523000,0.000570678536780232
"Italian Unification",1859,22500,79133000,0.000284331442002704
"Italian-Roman",1860,1000,27089000,3.69153530953524e-05
"Neapolitan",1860,1000,33139000,3.01759256465192e-05
"Franco-Mexican",1862,20000,46131000,0.000433547939563417
"Ecuadorian-Colombian",1863,1000,3642000,0.000274574409665019
"Lopez",1864,300000,9447000,0.0317561130517625
"Second Schleswig-Holstein",1864,4481,57500000,7.79304347826087e-05
"Lopez",1865,10000,1559000,0.0064143681847338
"Naval War",1865,400,17715000,2.25797346881174e-05
"Naval War",1866,600,2560000,0.000234375
"Seven Weeks",1866,44100,98514000,0.000447652110359949
"Franco-Prussian",1870,204313,77749000,0.00262785373445318
"First Central American",1876,4000,1136000,0.00352112676056338
"Second Russo-Turkish",1877,285000,126523000,0.0022525548714463
"War of the Pacific",1879,13868,6415000,0.0021618082618862
"Conquest of Egypt",1882,10079,40875000,0.000246581039755352
"Sino-French",1884,12100,413505000,2.92620403622689e-05
"Second Central American",1885,1000,1332000,0.000750750750750751
"First Sino-Japanese",1894,15000,462142000,3.24575563354986e-05
"Greco-Turkish",1897,2000,30078000,6.64937828313053e-05
"Spanish-American",1898,3685,91894000,4.01005506344266e-05
"Boxer Rebellion",1900,3003,758513000,3.95906200684761e-06
"Sino-Russian",1900,4000,558477000,7.16233613917852e-06
"Russo-Japanese",1904,151831,187735000,0.000808751697872
"Third Central American",1906,1000,2450000,0.000408163265306122
"Fourth Central American",1907,1000,1965000,0.000508905852417303
"Second Spanish-Moroccan",1909,10000,23932000,0.000417850576633796
"Italian-Turkish",1911,20000,60249000,0.000331955717107338
"First Balkan",1912,82000,35907000,0.00228367727741109
"Second Balkan",1913,60500,38930000,0.00155407141022348
"World War I",1914,7376087,457018000,0.016139598440324
"World War I",1915,737500,41290000,0.0178614676677162
"World War I",1916,342928,14845000,0.0231005725833614
"World War I",1917,121516,107914000,0.00112604481346257
"Estonian Liberation",1918,11750,147194000,7.98266233678003e-05
"Latvian Liberation",1918,11496,211857000,5.42630170350755e-05
"Franco-Turkish",1919,40000,50967000,0.000784821551199796
"Hungarian Adversaries",1919,11000,3.1e+07,0.000354838709677419
"Latvian Liberation",1919,1750,64002000,2.73428955345145e-05
"Russo-Polish",1919,100000,166422000,0.000600882094915336
"Second Greco-Turkish",1919,50000,23671000,0.00211228929914241
"Lithuanian-Polish",1920,1000,28824000,3.46933111296142e-05
"Manchurian",1929,3200,631604000,5.06646569686069e-06
"Second Sino-Japanese",1931,60000,552496000,0.000108598071298254
"Chaco",1932,92661,3370000,0.0274958456973294
"Saudi-Yemeni",1934,2100,4894000,0.000429096853289743
"Conquest of Ethiopia",1935,20000,55916000,0.000357679376207168
"Third Sino-Japanese",1937,1000000,583153000,0.00171481583735315
"Changkufeng",1938,1726,237872000,7.25600322862716e-06
"Nomonhan",1939,28000,242437000,0.000115493922132348
"Russo-Finnish",1939,151798,174015000,0.000872327098238658
"World War II",1939,4546307,234993000,0.0193465635146579
"Franco-Thai",1940,1400,56513000,2.47730610655955e-05
"World War II",1940,215800,112927000,0.00191096903309217
"World War II",1941,11805400,997068000,0.0118401152178186
"World War II",1943,52400,44830000,0.00116886013830025
"World War II",1944,12000,65721000,0.000182590039713334
"World War II",1945,3000,754000,0.00397877984084881
"First Kashmir",1947,3500,414417000,8.44559948071628e-06
"Arab-Israeli",1948,8000,30772000,0.00025997660210581
"Korean",1950,909045,867582000,0.00104779144795535
"Korean",1951,1039,120457000,8.62548461276638e-06
"Off-shore Islands",1954,2370,608899000,3.89227113199398e-06
"Sinai War",1956,3221,120605000,2.67070187803159e-05
"Soviet Invasion of Hungary",1956,2426,209569000,1.15761396007997e-05
"IfniWar",1957,1122,40381000,2.7785344592754e-05
"IfniWar",1958,0,44789000,0
"Taiwan Straits",1958,1800,646406000,2.78462761793671e-06
"Assam",1962,1853,1134569000,1.63321931059283e-06
"Second Kashmir",1965,7061,595591000,1.1855451140128e-05
"Vietnam War, Phase 2",1965,1017591,269516000,0.00377562371065169
"Vietnam War, Phase 2",1966,1000,32862000,3.04302842188546e-05
"Six Day War",1967,19600,41325000,0.000474289171203872
"Vietnam War, Phase 2",1967,351,32996000,1.06376530488544e-05
"Second Laotian, Phase 2",1968,13875,223811000,6.19942719526744e-05
"Football War",1969,1900,5955000,0.000319059613769941
"War of Attrition",1969,5368,35200000,0.0001525
"Communist Coalition",1970,6525,251470000,2.59474291167933e-05
"Second Laotian, Phase 2",1970,-9,36370000,-2.47456695078361e-07
"Vietnam War, Phase 2",1970,2500,6938000,0.000360334390314212
"Bangladesh",1971,11223,613651000,1.8288897109269e-05
"Yom Kippur War",1973,14439,65059000,0.000221937011020766
"Turco-Cypriot",1974,1500,39678000,3.78043248147588e-05
"War over Angola",1975,2700,63673000,4.24041587486062e-05
"Second Ogaden War, Phase 2",1977,10500,51524000,0.00020378852573558
"Vietnamese-Cambodian",1977,8000,57237000,0.000139769729370862
"Ugandian-Tanzanian",1978,2500,30223000,8.27184594514112e-05
"Sino-Vietnamese Punitive",1979,21000,1037929000,2.02325977981153e-05
"Ugandian-Tanzanian",1979,500,2632000,0.000189969604863222
"Iran-Iraq",1980,1250000,52529000,0.0237963791429496
"Falkland Islands",1982,1001,85284000,1.17372543501712e-05
"War over Lebanon",1982,1655,13322000,0.000124230596006606
"War over the Aouzou Strip",1986,8000,8639000,0.000926033105683528
"Sino-Vietnamese Border War",1987,4000,1166645000,3.42863510322335e-06
"Gulf War",1990,41000,20219000,0.00202779563776646
"Gulf War",1991,466,565231000,8.24441688442424e-07
"Bosnian Independence",1992,5240,19327000,0.000271123299011745
"Azeri-Armenian",1993,14000,11099000,0.00126137489863952
"Cenepa Valley",1995,1500,34992000,4.28669410150892e-05
"Badme Border",1998,120000,63226000,0.00189795337361212
"Kargil War",1999,1172,1150387000,1.01878759061081e-06
"War for Kosovo",1999,5002,625287000,7.9995266173773e-06
"Invasion of Afghanistan",2001,4002,476193000,8.40415545797607e-06
"Invasion of Iraq",2003,7173,398494000,1.80002710203918e-05
