geo,name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
afg,Afghanistan,17.14625,17.14625,17.14625,15.75294,15.75294,18.41046,15.03931,17.28229,17.28229,17.28229,17.28229,17.28229,17.28229,19.05044,19.05044,12.2101,9.58677,11.67014,4.30086,4.30086,4.30086,,,,,,3.24952,26.16064,30.32556,31.99608,33.99365,33.99365,34.61444,33.37413,33.37413,33.99365,33.99365,33.99365,33.99365,33.99365,33.99365,31.17294,32.81713,33.82852,33.82852,34.24388,7.51839
ago,Angola,27.27696,34.04606,34.04606,34.04606,34.04606,36.13884,37.10719,36.97166,36.97166,37.10719,37.10719,37.85259,38.05379,37.94766,37.94766,37.94766,38.32935,36.60755,38.26444,36.79984,36.79984,36.79984,37.03498,37.60729,37.60729,37.60729,37.60729,40.74042,44.98208,45.15254,45.15254,45.15254,45.15254,44.38693,46.85778,46.85778,49.02272,48.93037,50.63968,50.63968,50.8315,49.33558,51.81475,51.80251,52.05695,53.19244,53.03681
alb,Albania,47.93694,50.41379,50.41379,50.41379,50.41379,50.70596,50.51458,50.38774,50.38774,50.38774,50.6741,50.6741,50.6741,50.6741,50.6741,51.69381,42.34773,44.89668,46.08612,46.32063,46.32063,48.445,47.24652,49.10034,50.62858,50.62858,53.0437,53.78306,55.51369,53.78306,56.48591,56.48591,58.05944,55.51999,57.78564,57.78564,57.78564,57.98533,58.49285,60.16479,60.36162,62.08976,60.98549,61.16757,61.98841,61.98841,69.04572
are,UAE,8.10289,8.10289,8.78417,8.78417,8.78417,15.65789,12.74978,14.87041,14.87041,15.2535,17.08051,17.08051,15.4384,17.27457,17.42973,20.07061,20.23043,20.23043,20.36234,20.47081,22.31569,23.94421,24.12439,25.96072,26.02244,27.55738,31.20386,28.90206,28.90206,30.1677,34.69998,32.7752,37.13873,39.99216,39.99216,41.61527,41.31173,41.92653,41.92653,41.92653,44.53648,36.87133,40.62552,40.62552,41.08089,43.56757,45.866
arg,Argentina,48.44196,42.76775,42.76775,43.00911,43.00911,43.00911,43.20882,40.4388,49.70675,54.95222,56.95225,57.197,59.63635,59.63635,59.76814,59.01509,59.80307,66.69913,69.2381,67.57639,68.53262,68.53262,69.13352,69.13352,68.82419,68.82419,71.28163,71.28163,73.48653,75.64484,75.64484,73.91383,77.61289,76.01343,77.61289,77.61289,77.61289,77.61289,75.64484,75.64484,76.06998,76.53288,77.10974,74.22361,75.31042,77.57117,76.0112
arm,Armenia,,,,,,,,,,,,,,,,,49.97875,46.37287,48.54389,48.54389,49.03081,49.03081,49.03081,49.03081,48.52411,45.58591,48.52411,48.52411,46.33055,46.33055,46.33055,49.16212,52.42409,50.07093,50.33055,50.33055,50.45452,50.71485,50.92895,50.92895,50.92895,48.84023,52.97552,56.02756,57.47221,56.6129,57.3575
aus,Australia,61.79919,60.61344,60.61344,60.61344,60.61344,60.78964,60.97245,60.97245,65.54433,67.36603,67.62689,71.45895,73.75148,75.6994,75.6994,80.37949,80.37949,80.37949,80.43853,80.43853,80.43853,80.9557,81.21128,81.85346,81.85346,81.85346,82.18038,82.18038,84.02609,84.02609,84.02609,84.02609,84.371,85.08093,87.09982,86.68348,84.80538,84.80538,87.12287,87.12287,87.12287,85.90961,87.54053,88.13534,88.13534,88.13534,92.26696
aut,Austria,51.62121,55.45091,55.45091,55.76508,55.99624,62.00856,62.73519,61.04894,61.04894,61.04894,61.30694,66.03475,66.03475,66.03475,67.95986,68.88509,68.88509,68.88509,68.88509,69.17709,70.18674,70.41512,70.41512,70.41512,70.41512,75.03876,75.03876,75.90096,75.90096,76.15503,76.15503,76.15503,77.6598,75.70155,73.19541,77.46516,77.46516,77.46516,77.94505,74.97727,74.97727,76.33104,79.39088,79.8732,80.96413,82.79095,82.79095
aze,Azerbaijan,,,,,,,,,,,,,,,,,40.94874,39.48108,47.09853,45.33287,47.11522,47.11522,47.11522,47.11522,47.11522,47.16938,47.16938,47.16938,47.16938,47.16938,47.37648,46.20213,46.20213,46.20213,46.20213,46.95776,46.95776,46.95776,47.45042,47.45042,45.57999,46.66369,47.49955,49.96949,48.4267,48.4267,47.82264
bdi,Burundi,30.05228,30.05228,31.45068,31.45068,31.45068,31.45068,34.63488,38.4877,37.01738,37.6847,39.24646,39.48943,37.42575,37.42575,39.05065,37.42575,37.42575,42.02121,46.78382,45.97162,47.3167,47.38082,47.38082,47.90503,47.90503,48.97125,48.97125,49.28343,49.28343,49.28343,55.33053,54.598,54.69119,55.79511,55.93158,53.62708,53.62708,53.62708,53.01647,54.00206,54.13273,48.75904,56.58876,56.11423,54.1947,53.23697,51.61905
bel,Belgium,62.74594,62.74594,62.74594,62.74594,62.74594,69.25525,69.65871,70.32313,70.32313,70.32313,70.43217,70.74744,68.07697,68.07697,68.07697,81.08684,83.0195,81.30283,81.30283,81.30283,81.59398,81.84836,81.84836,81.84836,82.95465,83.24345,83.24345,83.24345,88.51281,88.8787,88.8787,87.01863,87.01863,86.05178,88.31982,88.31982,88.31982,88.31982,92.78343,90.43294,92.78343,92.78343,92.78343,100,91.15146,87.15918,87.15918
ben,Benin,48.2564,48.2564,48.2564,48.2564,49.70963,49.70963,49.61048,51.34806,51.43453,48.3419,50.65031,50.65031,50.65031,50.65031,50.4832,59.94296,57.26717,59.75174,59.75174,59.75174,59.75174,59.89914,59.89914,59.89914,59.75174,59.75174,59.81406,61.57627,61.70547,61.70547,61.70547,61.70547,61.84867,60.77256,61.84867,62.17459,62.00499,62.00499,59.90249,59.73561,59.58054,57.24434,61.76787,61.76787,62.58335,60.50496,60.50496
bfa,Burkina Faso,39.20805,39.20805,39.20805,37.72757,37.72757,39.5575,37.76903,37.30108,39.65621,42.7378,42.22559,43.88437,42.22559,41.12085,44.41157,47.6383,49.63682,52.03438,50.78523,50.78523,50.41338,50.41338,51.18771,51.39371,50.78523,52.08452,52.08452,53.12537,56.07723,54.40911,54.40911,54.40911,54.40911,54.81945,54.91432,54.91432,54.91432,54.91432,51.39937,51.17051,49.19633,51.26524,51.65196,53.44697,49.82785,45.73825,42.49796
bgd,Bangladesh,41.9321,42.13684,42.13684,42.13684,42.44768,42.44768,41.21066,37.57955,37.8645,38.37903,38.37903,43.70534,43.70534,43.94066,44.15533,45.93056,45.17527,45.17527,45.17527,45.37889,45.37889,45.16142,45.16142,45.16142,45.16142,46.51812,45.08048,45.08048,42.96268,42.96268,47.48905,46.72918,51.02991,46.71077,51.14609,51.14609,51.35638,51.35638,50.2609,50.2609,49.783,48.5985,46.04747,45.31067,46.60799,46.58765,46.58765
bgr,Bulgaria,66.91158,67.48092,67.48092,67.48092,67.48092,67.48092,66.38463,68.33801,68.33801,66.68157,68.33801,68.33801,66.68157,69.01014,69.01014,77.53802,79.46153,77.94702,77.94702,77.94702,77.94702,77.94702,77.70892,77.70892,77.70892,77.70892,79.08355,79.37693,79.37693,82.84999,80.23666,80.23666,79.063,78.80487,79.15844,81.95675,80.56923,81.49832,80.12614,79.56734,79.56734,81.42558,80.59063,80.59063,80.59063,76.12616,77.21247
bhr,Bahrain,19.41607,20.40597,20.40597,20.79232,20.79232,20.79232,19.88969,21.02471,21.02471,20.12364,20.12364,21.49239,20.3156,20.47387,20.47387,21.31351,21.43261,19.97532,20.04196,20.09321,20.13213,20.18476,20.20244,20.2159,20.22634,25.77228,27.12904,33.36021,33.36021,35.47533,33.36021,33.98348,33.98348,36.03999,36.03999,35.4738,35.91263,35.91263,34.3948,35.50387,35.50387,35.50387,35.50387,34.8882,34.8882,38.17285,39.84178
bih,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,52.08672,52.08672,53.24717,53.50297,53.50297,52.34397,54.82852,54.82852,55.11857,56.1481,57.35884,57.35884,55.94719,55.94719,56.00105,57.23798,56.00105,56.53054,56.70325,56.70325,56.70325,56.40196,56.93432,56.93432,57.85608,57.85608,57.85608,57.15818,57.91719,59.61804
blr,Belarus,,,,,,,,,,,,,,,,,60.55346,55.41095,59.94282,62.51791,62.51791,62.51791,62.92746,62.92746,63.04951,64.24428,64.24428,64.24428,64.24428,69.02266,66.8207,66.8207,68.72945,69.73113,69.73113,67.15796,67.15796,66.48064,66.48064,67.12703,67.42096,70.27347,73.54689,70.92007,74.1869,70.62284,63.70724
bol,Bolivia,23.77169,23.77169,23.77169,23.77169,24.24354,25.62223,21.19354,24.39609,28.05127,28.38053,32.44855,32.44855,32.44855,32.44855,33.98095,35.5401,35.5401,34.9933,35.63196,36.2578,38.7954,40.04319,41.36546,41.36546,43.15012,43.6217,43.6217,44.22145,44.22145,44.22145,45.31415,50.73703,52.13916,51.79231,53.06432,56.3107,56.13478,56.13478,56.13478,57.56036,57.56036,54.77779,59.38535,56.62542,60.71913,63.63317,59.3475
bra,Brazil,40.0824,40.0824,40.23421,41.4853,41.4853,41.6279,42.12635,42.23657,42.23657,42.23657,45.93838,49.95744,50.06611,55.53102,60.05869,58.42011,55.81153,55.81153,55.81153,58.59444,61.97459,62.7077,62.7077,64.43004,64.43004,64.43004,64.43004,68.64856,68.64856,70.22675,70.22675,70.22675,71.41692,70.32678,70.22675,73.4269,75.35076,75.35076,75.11896,75.21871,75.21871,70.7013,61.43772,60.34261,59.83775,62.30131,58.41911
brb,Barbados,66.33129,65.96337,65.96337,65.96337,65.96337,68.25091,68.25091,68.25091,68.25091,68.25091,68.54042,68.54042,68.54042,68.54042,68.84225,71.04587,71.04587,71.04587,71.04587,71.53481,71.86138,71.86138,71.86138,71.86138,71.86138,71.86138,71.77287,71.77287,74.01188,72.33527,72.33527,74.23686,72.33527,71.98405,71.98405,71.98405,71.98405,71.98405,72.48892,72.48892,72.48892,72.48712,73.64341,75.66295,75.66295,77.05629,78.83792
btn,Bhutan,32.94276,32.94276,32.94276,32.94276,32.94276,34.39949,36.53482,35.11553,35.11553,35.11553,35.11553,35.11553,35.11553,35.11553,35.11553,37.71952,37.1486,37.1486,37.1486,37.1486,38.84184,39.09253,39.60648,41.10043,42.87648,46.48161,47.97475,47.97475,48.09095,49.99294,51.11268,50.0683,48.53256,54.63233,52.49143,56.15103,55.59958,54.10535,57.57037,55.95165,55.95165,62.05526,57.68785,59.81735,56.45584,58.86405,61.43398
bwa,Botswana,41.39813,45.73693,41.39813,41.39813,42.8214,42.8214,40.35071,43.4811,45.39309,43.68553,46.87163,48.94742,46.86035,46.86035,44.08343,44.35383,44.35383,44.35383,47.33336,48.41114,49.66718,47.72359,49.66718,49.66718,51.71587,51.97641,51.97641,51.97641,51.97641,51.11363,52.37443,52.37443,50.70001,54.30644,52.14785,52.14785,54.12558,54.12558,56.29619,56.49631,56.74548,56.43953,56.43953,54.60419,58.03357,56.67758,56.31138
caf,Central African Republic,33.60992,33.60992,33.60992,33.60992,33.60992,37.72176,34.37039,36.26964,36.26964,34.37039,36.26964,36.26964,34.12584,36.06065,36.06065,37.76989,37.76989,37.76989,40.08286,40.08286,40.08286,42.38447,42.38447,43.17041,43.17041,44.58506,44.58506,44.58506,40.05247,44.75255,43.83086,43.83086,43.83086,45.43424,43.61641,45.21554,45.64333,45.64333,44.49875,45.81794,48.31096,45.52307,45.32838,47.79613,44.80579,44.93512,44.54149
can,Canada,58.0111,59.17265,62.28002,62.28002,62.28002,62.38007,63.08958,67.56713,69.28762,68.53697,69.66907,69.95132,68.81157,70.4028,69.26027,73.34804,71.13999,71.13999,72.692,76.23651,76.23651,76.23651,78.68944,78.68944,78.68944,81.88444,81.88444,81.88444,83.36716,83.60281,82.12184,79.68298,76.7229,78.68031,79.28987,79.28987,78.33188,78.33188,78.33188,78.33188,80.24758,82.42303,84.30911,84.30911,89.0622,81.52572,79.75314
che,Switzerland,57.16412,57.42994,57.42994,57.42994,58.00532,59.18584,61.28759,61.28759,61.28759,61.28759,62.6906,62.6906,63.00917,63.00917,63.00917,68.21061,68.55842,68.55842,68.72845,68.72845,68.92875,69.14852,69.14852,70.31593,70.31593,74.98088,74.98088,74.98088,78.29503,78.47636,78.47636,72.75675,74.52254,75.12028,74.52254,75.69162,75.89871,75.89871,75.89871,75.89871,76.27198,75.08656,75.08656,76.51306,76.90418,84.40422,84.40422
chl,Chile,23.89933,23.89933,26.54118,26.54118,26.54118,28.60373,28.60373,32.28648,32.28648,32.28648,32.50241,32.50241,32.50241,32.50241,30.82801,46.03726,46.03726,46.6087,44.67074,46.89759,46.89759,46.63382,47.43646,47.43646,47.43646,59.0977,59.28201,59.28201,59.28201,59.28201,61.27421,61.27421,61.71719,61.71719,61.07041,61.07041,61.07041,61.07041,61.53642,64.51608,63.59402,59.7948,61.40729,60.6118,61.40729,62.78346,61.78291
