Unnamed: 0,year,CNN_total,FOX_rel,FOX_total,MSNBC_rel,MSNBC_total,NBC_rel,NBC_total,NYT_rel,NYT_total,WSJ_rel,WSJ_total,CNN_percent,MSNBC_percent,FOX_percent,WSJ_percent,NBC_percent,NYT_percent,CNN_rel
1,2000,23193,0,,0,,,,48,102800,30,51486,0.060363040572586554,,,0.1,,0.0,14
2,2001,26363,2,,0,,,,56,110986,26,46691,0.2124189204567007,,,0.1,,0.1,56
3,2002,22734,2,,0,,,,60,109411,17,43002,0.07477786575173749,,,0.0,,0.1,17
4,2003,24223,4,21.0,1,5.0,7.0,15.0,43,107157,12,38982,0.03715477025967056,20.0,19.0,0.0,46.7,0.0,9
5,2004,10645,0,17.0,5,,18.0,,46,106791,13,39072,0.06575857209957726,,0.0,0.0,,0.0,7
6,2005,9104,1,13.0,3,43.0,21.0,4.0,34,119721,12,40220,0.14279437609841827,7.0,7.7,0.0,525.0,0.0,13
7,2006,8428,2,18.0,3,4.0,14.0,18.0,37,160420,17,42545,0.1779781680113906,75.0,11.1,0.0,77.8,0.0,15
8,2007,7309,0,29.0,1,,29.0,33.0,34,97303,4,44821,0.08209057326583664,,0.0,0.0,87.9,0.0,6
9,2008,7379,1,34.0,0,2.0,30.0,14.0,43,114188,8,52648,0.10841577449518904,0.0,2.9,0.0,214.3,0.0,8
10,2009,7568,0,19.0,4,,21.0,34.0,42,142681,9,59691,0.2642706131078224,,0.0,0.0,61.8,0.0,20
11,2010,8097,0,39.0,2,,30.0,6.0,59,106364,30,74810,0.39520810176608623,,0.0,0.0,500.0,0.1,32
12,2011,8847,0,29.0,0,1.0,68.0,9.0,81,92647,57,83408,0.6103763987792472,0.0,0.0,0.1,755.6,0.1,54
13,2012,9189,4,945.0,1,145.0,58.0,724.0,63,92375,79,78750,0.44618565676352157,0.7,0.4,0.1,8.0,0.1,41
14,2013,12132,0,91348.0,6,11962.0,54.0,67685.0,80,79845,133,76460,0.20606660072535443,0.1,0.0,0.2,0.1,0.1,25
15,2014,12225,5,130716.0,2,17367.0,69.0,9428.0,104,77675,196,82375,0.294478527607362,0.0,0.0,0.2,0.7,0.1,36
16,2015,12212,9,122934.0,1,20050.0,52.0,27784.0,170,69616,334,73907,0.3357353422862758,0.0,0.0,0.5,0.2,0.2,41
17,2016,13447,71,131408.0,29,9981.0,78.0,81516.0,366,61934,676,80951,0.5726184279021342,0.3,0.1,0.8,0.1,0.6,77
18,2017,13184,73,141790.0,14,5236.0,88.0,207491.0,558,54919,1004,62538,0.9632888349514562,0.3,0.1,1.6,0.0,1.0,127
19,2018,13184,146,164521.0,23,7730.0,112.0,248219.0,780,52983,1019,50553,1.8734830097087378,0.3,0.1,2.0,0.0,1.5,247
20,2019,13461,209,183112.0,56,9755.0,136.0,266419.0,798,50254,956,37281,2.369809078077409,0.6,0.1,2.6,0.1,1.6,319
21,2020,14997,79,165685.0,14,6731.0,74.0,147925.0,493,50993,684,37011,1.3669400546776023,0.2,0.0,1.8,0.1,1.0,205
22,2021,14049,140,148008.0,41,9622.0,63.0,51547.0,415,47223,584,33077,0.15659477542885616,0.4,0.1,1.8,0.1,0.9,22
23,2022,13953,102,167335.0,17,12272.0,68.0,57709.0,433,44153,453,34127,1.282878234071526,0.1,0.1,1.3,0.1,1.0,179
24,2023,13668,662,212074.0,13,14008.0,328.0,61499.0,1783,41289,1365,31934,11.084284460052677,0.1,0.3,4.3,0.5,4.3,1515
25,2024,14425,359,170498.0,0,10098.0,492.0,63400.0,1775,44516,1779,28739,11.452339688041596,0.0,0.2,6.2,0.8,4.0,1652
