"year","source","total_articles"
2000,"CNN",17
2000,"NYT",48
2000,"WSJ",30
2001,"CNN",58
2001,"FOX",2
2001,"NYT",56
2001,"WSJ",26
2002,"CNN",18
2002,"FOX",2
2002,"NYT",60
2002,"WSJ",17
2003,"CNN",9
2003,"FOX",4
2003,"MSNBC",1
2003,"NBC",7
2003,"NYT",43
2003,"WSJ",12
2004,"CNN",7
2004,"MSNBC",5
2004,"NBC",18
2004,"NYT",46
2004,"WSJ",13
2005,"CNN",15
2005,"FOX",1
2005,"MSNBC",4
2005,"NBC",21
2005,"NYT",34
2005,"WSJ",12
2006,"CNN",16
2006,"FOX",2
2006,"MSNBC",3
2006,"NBC",14
2006,"NYT",37
2006,"WSJ",17
2007,"CNN",7
2007,"MSNBC",1
2007,"NBC",29
2007,"NYT",34
2007,"WSJ",4
2008,"CNN",9
2008,"FOX",1
2008,"NBC",30
2008,"NYT",43
2008,"WSJ",8
2009,"CNN",22
2009,"MSNBC",4
2009,"NBC",21
2009,"NYT",42
2009,"WSJ",9
2010,"CNN",35
2010,"MSNBC",2
2010,"NBC",30
2010,"NYT",59
2010,"WSJ",30
2011,"CNN",55
2011,"NBC",68
2011,"NYT",81
2011,"WSJ",57
2012,"CNN",44
2012,"FOX",4
2012,"MSNBC",2
2012,"NBC",58
2012,"NYT",63
2012,"WSJ",79
2013,"CNN",28
2013,"MSNBC",6
2013,"NBC",54
2013,"NYT",80
2013,"WSJ",133
2014,"CNN",38
2014,"FOX",5
2014,"MSNBC",3
2014,"NBC",69
2014,"NYT",104
2014,"WSJ",196
2015,"CNN",43
2015,"FOX",9
2015,"MSNBC",1
2015,"NBC",52
2015,"NYT",170
2015,"WSJ",334
2016,"CNN",80
2016,"FOX",71
2016,"MSNBC",31
2016,"NBC",78
2016,"NYT",366
2016,"WSJ",676
2017,"CNN",129
2017,"FOX",73
2017,"MSNBC",14
2017,"NBC",88
2017,"NYT",558
2017,"WSJ",1004
2018,"CNN",250
2018,"FOX",146
2018,"MSNBC",28
2018,"NBC",112
2018,"NYT",780
2018,"WSJ",1019
2019,"CNN",323
2019,"FOX",209
2019,"MSNBC",60
2019,"NBC",136
2019,"NYT",798
2019,"WSJ",956
2020,"CNN",211
2020,"FOX",79
2020,"MSNBC",18
2020,"NBC",74
2020,"NYT",493
2020,"WSJ",684
2021,"CNN",22
2021,"FOX",140
2021,"MSNBC",41
2021,"NBC",63
2021,"NYT",415
2021,"WSJ",584
2022,"CNN",180
2022,"FOX",103
2022,"MSNBC",18
2022,"NBC",68
2022,"NYT",433
2022,"WSJ",453
2023,"CNN",1526
2023,"FOX",665
2023,"MSNBC",13
2023,"NBC",328
2023,"NYT",1783
2023,"WSJ",1365
2024,"CNN",1702
2024,"FOX",359
2024,"NBC",492
2024,"NYT",1775
2024,"WSJ",1779
